signing_date,signer,citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,start_page,title,disposition_notes,executive_order_number
9/30/13,Obama,78 FR 61817,2013-24388,61820,https://www.federalregister.gov/documents/2013/10/04/2013-24388/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2013-10-04/pdf/2013-24388.pdf,Presidential Document,Executive Order,10/4/13,61817,Continuance Of Certain Federal Advisory Committees,"Amends: EO 13043, April 16, 1997; EO 13231, October 16, 2001; EO 13515, October 14, 2009; EO 13538, April 19, 2010; EO 13600, February 9, 2012;
 Supersedes in part: EO 13585, September 30, 2011; EO 13591, November 23, 2011;  EO 13708, September 30, 2015
 Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 19, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13515, October 14, 2009; EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 19, 2010; EO 13539, April 21, 2010; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13600, February 9, 2012; EO 13621, July 26, 2012; EO 13631, December 7, 2012; EO 13634, December 21, 2012; EO 13640, January 5, 2013;
 ee: EO 13498, February 5, 2009; EO 13544, June 10, 2010; EO 13555, October 19, 2010",13652
8/6/13,Obama,78 FR 48791,2013-19520,48794,https://www.federalregister.gov/documents/2013/08/09/2013-19520/prohibiting-certain-imports-of-burmese-jadeite-and-rubies,https://www.govinfo.gov/content/pkg/FR-2013-08-09/pdf/2013-19520.pdf,Presidential Document,Executive Order,8/9/13,48791,Prohibiting Certain Imports of Burmese Jadeite and Rubies,"See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008; EO 13619, July 11, 2012; EO 13742, October 7, 2016",13651
8/1/13,Obama,78 FR 48029,2013-19220,48033,https://www.federalregister.gov/documents/2013/08/07/2013-19220/improving-chemical-facility-safety-and-security,https://www.govinfo.gov/content/pkg/FR-2013-08-07/pdf/2013-19220.pdf,Presidential Document,Executive Order,8/7/13,48029,Improving Chemical Facility Safety and Security,,13650
7/15/13,Obama,78 FR 43055,2013-17478,43059,https://www.federalregister.gov/documents/2013/07/18/2013-17478/accelerating-improvements-in-hiv-prevention-and-care-in-the-united-states-through-the-hiv-care,https://www.govinfo.gov/content/pkg/FR-2013-07-18/pdf/2013-17478.pdf,Presidential Document,Executive Order,7/18/13,43055,Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Continuum Initiative,"See: EO 13703, July 30, 2015",13649
7/1/13,Obama,78 FR 40619,2013-16387,40623,https://www.federalregister.gov/documents/2013/07/05/2013-16387/combating-wildlife-trafficking,https://www.govinfo.gov/content/pkg/FR-2013-07-05/pdf/2013-16387.pdf,Presidential Document,Executive Order,7/5/13,40619,Combating Wildlife Trafficking,"See: EO 13708, September 30, 2015
Continued by: EO 13708, September 30, 2015",13648
6/26/13,Obama,78 FR 39539,2013-15942,39542,https://www.federalregister.gov/documents/2013/07/01/2013-15942/establishing-the-white-house-council-on-native-american-affairs,https://www.govinfo.gov/content/pkg/FR-2013-07-01/pdf/2013-15942.pdf,Presidential Document,Executive Order,7/1/13,39539,Establishing the White House Council on Native American Affairs,,13647
6/25/13,Obama,78 FR 39157,2013-15782,39161,https://www.federalregister.gov/documents/2013/06/28/2013-15782/establishing-the-presidents-advisory-council-on-financial-capability-for-young-americans,https://www.govinfo.gov/content/pkg/FR-2013-06-28/pdf/2013-15782.pdf,Presidential Document,Executive Order,6/28/13,39157,Establishing the President's Advisory Council on Financial Capability for Young Americans,,13646
6/3/13,Obama,78 FR 33945,2013-13523,33953,https://www.federalregister.gov/documents/2013/06/05/2013-13523/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-freedom-and-counter-,https://www.govinfo.gov/content/pkg/FR-2013-06-05/pdf/2013-13523.pdf,Presidential Document,Executive Order,6/5/13,33945,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter- Proliferation Act of 2012 and Additional Sanctions With Respect To Iran,"Revoked by: EO 13716, January 16, 2016",13645
5/21/13,Obama,78 FR 31813,2013-12650,31813,https://www.federalregister.gov/documents/2013/05/24/2013-12650/amendment-to-executive-order-13639,https://www.govinfo.gov/content/pkg/FR-2013-05-24/pdf/2013-12650.pdf,Presidential Document,Executive Order,5/24/13,31813,Amendment to Executive Order 13639,,13644
5/15/13,Obama,78 FR 29559,2013-12157,29610,https://www.federalregister.gov/documents/2013/05/21/2013-12157/2013-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2013-05-21/pdf/2013-12157.pdf,Presidential Document,Executive Order,5/21/13,29559,"2013 Amendments to the Manual for Courts-Martial, United States",,13643
5/9/13,Obama,78 FR 28111,2013-11533,28113,https://www.federalregister.gov/documents/2013/05/14/2013-11533/making-open-and-machine-readable-the-new-default-for-government-information,https://www.govinfo.gov/content/pkg/FR-2013-05-14/pdf/2013-11533.pdf,Presidential Document,Executive Order,5/14/13,28111,Making Open and Machine Readable the New Default for Government Information,"See: EO 13744, October 13, 2016",13642
4/5/13,Obama,78 FR 21503,2013-08626,21514,https://www.federalregister.gov/documents/2013/04/11/2013-08626/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2013-04-11/pdf/2013-08626.pdf,Presidential Document,Executive Order,4/11/13,21503,Adjustments of Certain Rates of Pay,"Supersedes: EO 13635, December 27, 2012;
 Superseded by: EO 13655, December 23, 2013",13641
4/5/13,Obama,78 FR 21211,2013-08501,21211,https://www.federalregister.gov/documents/2013/04/10/2013-08501/continuance-of-advisory-council,https://www.govinfo.gov/content/pkg/FR-2013-04-10/pdf/2013-08501.pdf,Presidential Document,Executive Order,4/10/13,21211,Continuance of Advisory Council,"Continued by: EO 13652, September 30, 2013;
 See: EO 13498, February 5, 2009; EO 13569, April 5, 2011",13640
3/28/13,Obama,78 FR 19979,2013-07837,19980,https://www.federalregister.gov/documents/2013/04/03/2013-07837/establishment-of-the-presidential-commission-on-election-administration,https://www.govinfo.gov/content/pkg/FR-2013-04-03/pdf/2013-07837.pdf,Presidential Document,Executive Order,4/3/13,19979,Establishment of the Presidential Commission on Election Administration,,13639
3/15/13,Obama,78 FR 17587,2013-06712,17590,https://www.federalregister.gov/documents/2013/03/21/2013-06712/amendments-to-executive-order-12777,https://www.govinfo.gov/content/pkg/FR-2013-03-21/pdf/2013-06712.pdf,Presidential Document,Executive Order,3/21/13,17587,Amendments to Executive Order 12777,,13638
3/8/13,Obama,78 FR 16127,2013-05967,16132,https://www.federalregister.gov/documents/2013/03/13/2013-05967/administration-of-reformed-export-controls,https://www.govinfo.gov/content/pkg/FR-2013-03-13/pdf/2013-05967.pdf,Presidential Document,Executive Order,3/13/13,16127,Administration of Reformed Export Controls,,13637
2/12/13,Obama,78 FR 11737,2013-03915,11744,https://www.federalregister.gov/documents/2013/02/19/2013-03915/improving-critical-infrastructure-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2013-02-19/pdf/2013-03915.pdf,Presidential Document,Executive Order,2/19/13,11737,Improving Critical Infrastructure Cybersecurity,"See: EO 13549, August 18, 2010; EO 12866, September 30, 1993; EO 13563, January 18, 2011 EO 13609, May 1, 2012; EO 13610, May 10, 2012; EO 13800, May 11, 2017",13636
12/27/12,Obama,78 FR 649,2013-00002,660,https://www.federalregister.gov/documents/2013/01/03/2013-00002/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2013-01-03/pdf/2013-00002.pdf,Presidential Document,Executive Order,1/3/13,649,Adjustments of Certain Rates of Pay,"Supersedes: EO 13594, December 19, 2011;
 Superseded by EO 13641, April 5, 2013",13635
12/21/12,Obama,77 FR 77247,2012-31574,77249,https://www.federalregister.gov/documents/2012/12/31/2012-31574/reestablishment-of-advisory-commission,https://www.govinfo.gov/content/pkg/FR-2012-12-31/pdf/2012-31574.pdf,Presidential Document,Executive Order,12/31/12,77247,Reestablishment of Advisory Commission,"Continued by: EO 13652, September 30, 2013;
 See: EO 13555, October 19, 2010",13634
12/21/12,Obama,77 FR 76339,2012-31225,76340,https://www.federalregister.gov/documents/2012/12/28/2012-31225/closing-of-executive-departments-and-agencies-of-the-federal-government-on-monday-december-24-2012,https://www.govinfo.gov/content/pkg/FR-2012-12-28/pdf/2012-31225.pdf,Presidential Document,Executive Order,12/28/12,76339,"Closing of Executive Departments and Agencies of the Federal Government on Monday, December 24, 2012",,13633
12/7/12,Obama,77 FR 74341,2012-30310,74344,https://www.federalregister.gov/documents/2012/12/14/2012-30310/establishing-the-hurricane-sandy-rebuilding-task-force,https://www.govinfo.gov/content/pkg/FR-2012-12-14/pdf/2012-30310.pdf,Presidential Document,Executive Order,12/14/12,74341,Establishing the Hurricane Sandy Rebuilding Task Force,,13632
12/7/12,Obama,77 FR 74099,2012-30170,74101,https://www.federalregister.gov/documents/2012/12/12/2012-30170/reestablishment-of-advisory-group,https://www.govinfo.gov/content/pkg/FR-2012-12-12/pdf/2012-30170.pdf,Presidential Document,Executive Order,12/12/12,74099,Reestablishment of Advisory Group,"Continued by: EO 13652, September 30, 2013;
 See: EO 13544, June 10, 2010; EO 13591, November 23, 2011",13631
12/6/12,Obama,77 FR 73893,2012-30060,73895,https://www.federalregister.gov/documents/2012/12/11/2012-30060/establishment-of-an-interagency-task-force-on-commercial-advocacy,https://www.govinfo.gov/content/pkg/FR-2012-12-11/pdf/2012-30060.pdf,Presidential Document,Executive Order,12/11/12,73893,Establishment of an Interagency Task Force on Commercial Advocacy,"See: EO 13534, March 11, 2010",13630
10/26/12,Obama,77 FR 66351,2012-27002,66355,https://www.federalregister.gov/documents/2012/11/02/2012-27002/establishing-the-white-house-homeland-security-partnership-council,https://www.govinfo.gov/content/pkg/FR-2012-11-02/pdf/2012-27002.pdf,Presidential Document,Executive Order,11/2/12,66351,Establishing the White House Homeland Security Partnership Council,,13629
10/9/12,Obama,77 FR 62139,2012-25236,62145,https://www.federalregister.gov/documents/2012/10/12/2012-25236/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-threat-reduction-and-syria,https://www.govinfo.gov/content/pkg/FR-2012-10-12/pdf/2012-25236.pdf,Presidential Document,Executive Order,10/12/12,62139,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran,"Amends: EO 13622, July 30, 2012
See: EO 12957, March 15, 1995; EO 12959, May 6, 1995; EO 13059, August 19, 1997; EO 13599, February 5, 2012; EO 13622, July 30, 2012
Amended by: EO 13716, January 16, 2016",13628
9/25/12,Obama,77 FR 60029,2012-24374,60033,https://www.federalregister.gov/documents/2012/10/02/2012-24374/strengthening-protections-against-trafficking-in-persons-in-federal-contracts,https://www.govinfo.gov/content/pkg/FR-2012-10-02/pdf/2012-24374.pdf,Presidential Document,Executive Order,10/2/12,60029,Strengthening Protections Against Trafficking in Persons in Federal Contracts,,13627
9/10/12,Obama,77 FR 56749,2012-22807,56752,https://www.federalregister.gov/documents/2012/09/13/2012-22807/gulf-coast-ecosystem-restoration,https://www.govinfo.gov/content/pkg/FR-2012-09-13/pdf/2012-22807.pdf,Presidential Document,Executive Order,9/13/12,56749,Gulf Coast Ecosystem Restoration,"See: EO 12777, October 18,1991; EO 13554, October 5, 2010",13626
8/30/12,Obama,77 FR 54777,2012-22030,54781,https://www.federalregister.gov/documents/2012/09/05/2012-22030/accelerating-investment-in-industrial-energy-efficiency,https://www.govinfo.gov/content/pkg/FR-2012-09-05/pdf/2012-22030.pdf,Presidential Document,Executive Order,9/5/12,54777,Accelerating Investment in Industrial Energy Efficiency,,13624
8/31/12,Obama,77 FR 54783,2012-22062,54786,https://www.federalregister.gov/documents/2012/09/05/2012-22062/improving-access-to-mental-health-services-for-veterans-service-members-and-military-families,https://www.govinfo.gov/content/pkg/FR-2012-09-05/pdf/2012-22062.pdf,Presidential Document,Executive Order,9/5/12,54783,"Improving Access to Mental Health Services for Veterans, Service Members, and Military Families",,13625
8/10/12,Obama,77 FR 49345,2012-20259,49348,https://www.federalregister.gov/documents/2012/08/16/2012-20259/preventing-and-responding-to-violence-against-women-and-girls-globally,https://www.govinfo.gov/content/pkg/FR-2012-08-16/pdf/2012-20259.pdf,Presidential Document,Executive Order,8/16/12,49345,Preventing and Responding to Violence Against Women and Girls Globally,,13623
7/30/12,Obama,77 FR 45897,2012-19055,45902,https://www.federalregister.gov/documents/2012/08/02/2012-19055/authorizing-additional-sanctions-with-respect-to-iran,https://www.govinfo.gov/content/pkg/FR-2012-08-02/pdf/2012-19055.pdf,Presidential Document,Executive Order,8/2/12,45897,Authorizing Additional Sanctions With Respect to Iran,"Amended by: EO 13628, October 9, 2012
See: EO 12957, March 15, 1995; EO 13628, October 9, 2012
Revoked by: EO 13716, January 16, 2016",13622
7/26/12,Obama,77 FR 45471,2012-18868,45476,https://www.federalregister.gov/documents/2012/08/01/2012-18868/white-house-initiative-on-educational-excellence-for-african-americans,https://www.govinfo.gov/content/pkg/FR-2012-08-01/pdf/2012-18868.pdf,Presidential Document,Executive Order,8/1/12,45471,White House Initiative on Educational Excellence for African Americans,"Continued by: EO 13652 , September 30, 2013; EO 13708, September 30, 2015; EO 13811, September 29, 2017
 See: EO 13532, February 26, 2010",13621
7/20/12,Obama,77 FR 43481,2012-18237,43485,https://www.federalregister.gov/documents/2012/07/24/2012-18237/taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia,https://www.govinfo.gov/content/pkg/FR-2012-07-24/pdf/2012-18237.pdf,Presidential Document,Executive Order,7/24/12,43481,Taking Additional Steps to Address the National Emergency With Respect to Somalia,"See: EO 13536, April 12, 2010",13620
7/11/12,Obama,77 FR 41243,2012-17264,41245,https://www.federalregister.gov/documents/2012/07/13/2012-17264/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-burma,https://www.govinfo.gov/content/pkg/FR-2012-07-13/pdf/2012-17264.pdf,Presidential Document,Executive Order,7/13/12,41243,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Burma","Amends: EO 13448, October 18, 2007; EO 13464, April 30, 2008
See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008
Revoked by: EO 13742, October 7, 2016",13619
7/6/12,Obama,77 FR 40779,2012-17022,40783,https://www.federalregister.gov/documents/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions,https://www.govinfo.gov/content/pkg/FR-2012-07-11/pdf/2012-17022.pdf,Presidential Document,Executive Order,7/11/12,40779,Assignment of National Security and Emergency Preparedness Communications Functions,"Revokes: EO 12472, April 3, 1984;;
 ;  Amends: EO 12382, September 13, 1982;;
 ;  See: EO 12333, December 4, 1981; EO 13526, December 29, 2009",13618
6/25/12,Obama,77 FR 38457,2012-15954,38461,https://www.federalregister.gov/documents/2012/06/27/2012-15954/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly,https://www.govinfo.gov/content/pkg/FR-2012-06-27/pdf/2012-15954.pdf,Presidential Document,Executive Order,6/27/12,38457,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons,"See: EO 12938, November 14, 1994; EO 13085, May 26, 1998; EO 13159, June 21, 2000
Revoked by: EO 13695, May 26, 2015",13617
6/14/12,Obama,77 FR 36903,2012-15183,36906,https://www.federalregister.gov/documents/2012/06/20/2012-15183/accelerating-broadband-infrastructure-deployment,https://www.govinfo.gov/content/pkg/FR-2012-06-20/pdf/2012-15183.pdf,Presidential Document,Executive Order,6/20/12,36903,Accelerating Broadband Infrastructure Deployment,"See: EO 13604, March 2, 2012",13616
5/21/12,Obama,77 FR 31153,2012-12881,31154,https://www.federalregister.gov/documents/2012/05/24/2012-12881/providing-an-order-of-succession-within-the-department-of-agriculture,https://www.govinfo.gov/content/pkg/FR-2012-05-24/pdf/2012-12881.pdf,Presidential Document,Executive Order,5/24/12,31153,Providing an Order of Succession Within the Department of Agriculture,"Revokes: EO 13542, May 13, 2010",13612
5/21/12,Obama,77 FR 31155,2012-12882,31156,https://www.federalregister.gov/documents/2012/05/24/2012-12882/providing-an-order-of-succession-within-the-department-of-commerce,https://www.govinfo.gov/content/pkg/FR-2012-05-24/pdf/2012-12882.pdf,Presidential Document,Executive Order,5/24/12,31155,Providing an Order of Succession Within the Department of Commerce,"Revokes: EO 13242, December 18, 2001",13613
5/21/12,Obama,77 FR 31157,2012-12883,31158,https://www.federalregister.gov/documents/2012/05/24/2012-12883/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2012-05-24/pdf/2012-12883.pdf,Presidential Document,Executive Order,5/24/12,31157,Providing an Order of Succession Within the Environmental Protection Agency,"Revokes: EO 13261, March 19, 2002; EO 13344, July 7, 2004",13614
5/21/12,Obama,77 FR 31159,2012-12889,31160,https://www.federalregister.gov/documents/2012/05/24/2012-12889/providing-an-order-of-succession-within-the-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2012-05-24/pdf/2012-12889.pdf,Presidential Document,Executive Order,5/24/12,31159,Providing an Order of Succession Within the Office of Management and Budget,"Revokes: EO 13370, January 13, 2005",13615
5/16/12,Obama,77 FR 29533,2012-12225,29535,https://www.federalregister.gov/documents/2012/05/18/2012-12225/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-yemen,https://www.govinfo.gov/content/pkg/FR-2012-05-18/pdf/2012-12225.pdf,Presidential Document,Executive Order,5/18/12,29533,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Yemen",,13611
5/10/12,Obama,77 FR 28467,2012-11798,28470,https://www.federalregister.gov/documents/2012/05/14/2012-11798/identifying-and-reducing-regulatory-burdens,https://www.govinfo.gov/content/pkg/FR-2012-05-14/pdf/2012-11798.pdf,Presidential Document,Executive Order,5/14/12,28467,Identifying and Reducing Regulatory Burdens,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011; EO 13636, February 12, 2013; EO 13707, September 15, 2015",13610
5/1/12,Obama,77 FR 26413,2012-10968,26415,https://www.federalregister.gov/documents/2012/05/04/2012-10968/promoting-international-regulatory-cooperation,https://www.govinfo.gov/content/pkg/FR-2012-05-04/pdf/2012-10968.pdf,Presidential Document,Executive Order,5/4/12,26413,Promoting International Regulatory Cooperation,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",13609
5/1/12,Obama,77 FR 26407,2012-10884,26411,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,https://www.govinfo.gov/content/pkg/FR-2012-05-03/pdf/2012-10884.pdf,Presidential Document,Executive Order,5/3/12,26407,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria,"See: EO 12938, November 4, 1994; EO 12957, March 15, 1995; EO 13224, September 23, 2001; EO 13338, May 1, 2004",13608
4/27/12,Obama,77 FR 25861,2012-10715,25864,https://www.federalregister.gov/documents/2012/05/02/2012-10715/establishing-principles-of-excellence-for-educational-institutions-serving-service-members-veterans,https://www.govinfo.gov/content/pkg/FR-2012-05-02/pdf/2012-10715.pdf,Presidential Document,Executive Order,5/2/12,25861,"Establishing Principles of Excellence for Educational Institutions Serving Service Members, Veterans, Spouses, and Other Family Members",,13607
4/22/12,Obama,77 FR 24569,2012-10034,24574,https://www.federalregister.gov/documents/2012/04/24/2012-10034/blocking-the-property-and-suspending-entry-into-the-united-states-of-certain-persons-with-respect-to,https://www.govinfo.gov/content/pkg/FR-2012-04-24/pdf/2012-10034.pdf,Presidential Document,Executive Order,4/24/12,24569,Blocking the Property and Suspending Entry Into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria via Information Technology,"See: EO 12957, March 15, 1995; EO 13338, May 11, 2004",13606
4/13/12,Obama,77 FR 23105,2012-9473,23108,https://www.federalregister.gov/documents/2012/04/17/2012-9473/supporting-safe-and-responsible-development-of-unconventional-domestic-natural-gas-resources,https://www.govinfo.gov/content/pkg/FR-2012-04-17/pdf/2012-9473.pdf,Presidential Document,Executive Order,4/17/12,23105,Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources,,13605
3/22/12,Obama,77 FR 18885,2012-7636,18890,https://www.federalregister.gov/documents/2012/03/28/2012-7636/improving-performance-of-federal-permitting-and-review-of-infrastructure-projects,https://www.govinfo.gov/content/pkg/FR-2012-03-28/pdf/2012-7636.pdf,Presidential Document,Executive Order,3/28/12,18885,Improving Performance of Federal Permitting and Review of Infrastructure Projects,"See: EO 13563, January 18, 2011; EO 13580, July 12, 2011; EO 13616, June 14, 2012",13604
3/16/12,Obama,77 FR 16651,2012-7019,16660,https://www.federalregister.gov/documents/2012/03/22/2012-7019/national-defense-resources-preparedness,https://www.govinfo.gov/content/pkg/FR-2012-03-22/pdf/2012-7019.pdf,Presidential Document,Executive Order,3/22/12,16651,National Defense Resources Preparedness,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988",13603
3/15/12,Obama,77 FR 16131,2012-6797,16134,https://www.federalregister.gov/documents/2012/03/20/2012-6797/establishing-a-white-house-council-on-strong-cities-strong-communities,https://www.govinfo.gov/content/pkg/FR-2012-03-20/pdf/2012-6797.pdf,Presidential Document,Executive Order,3/20/12,16131,"Establishing a White House Council on Strong Cities, Strong Communities","Revoked by: EO 13748, November 16, 2016",13602
2/28/12,Obama,77 FR 12981,2012-5366,12983,https://www.federalregister.gov/documents/2012/03/05/2012-5366/establishment-of-the-interagency-trade-enforcement-center,https://www.govinfo.gov/content/pkg/FR-2012-03-05/pdf/2012-5366.pdf,Presidential Document,Executive Order,3/5/12,12981,Establishment of the Interagency Trade Enforcement Center,,13601
2/9/12,Obama,77 FR 8711,2012-3616,8715,https://www.federalregister.gov/documents/2012/02/14/2012-3616/establishing-the-presidents-global-development-council,https://www.govinfo.gov/content/pkg/FR-2012-02-14/pdf/2012-3616.pdf,Presidential Document,Executive Order,2/14/12,8711,Establishing the President's Global Development Council,"Amended by: EO 13652, September 30, 2013;
 Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015",13600
2/5/12,Obama,77 FR 6657,2012-3097,6662,https://www.federalregister.gov/documents/2012/02/08/2012-3097/blocking-property-of-the-government-of-iran-and-iranian-financial-institutions,https://www.govinfo.gov/content/pkg/FR-2012-02-08/pdf/2012-3097.pdf,Presidential Document,Executive Order,2/8/12,6657,Blocking Property of the Government of Iran and Iranian Financial Institutions,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981; EO 13628, October 9, 2012",13599
1/27/12,Obama,77 FR 5369,2012-2557,5372,https://www.federalregister.gov/documents/2012/02/02/2012-2557/assignment-of-functions-relating-to-certain-promotion-and-appointment-actions-in-the-armed-forces,https://www.govinfo.gov/content/pkg/FR-2012-02-02/pdf/2012-2557.pdf,Presidential Document,Executive Order,2/2/12,5369,Assignment of Functions Relating to Certain Promotion and Appointment Actions in the Armed Forces,,13598
1/19/12,Obama,77 FR 3373,2012-1568,3375,https://www.federalregister.gov/documents/2012/01/24/2012-1568/establishing-visa-and-foreign-visitor-processing-goals-and-the-task-force-on-travel-and,https://www.govinfo.gov/content/pkg/FR-2012-01-24/pdf/2012-1568.pdf,Presidential Document,Executive Order,1/24/12,3373,Establishing Visa and Foreign Visitor Processing Goals and the Task Force On Travel and Competitiveness,"See: EO 13749, November 29, 2016
Amended by: EO 13802, June 21, 2017",13597
12/19/11,Obama,76 FR 80725,2011-33335,80726,https://www.federalregister.gov/documents/2011/12/27/2011-33335/amendments-to-executive-orders-12131-and-13539,https://www.govinfo.gov/content/pkg/FR-2011-12-27/pdf/2011-33335.pdf,Presidential Document,Executive Order,12/27/11,80725,Amendments to Executive Orders 12131 and 13539,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010",13596
12/19/11,Obama,76 FR 80205,2011-33089,80207,https://www.federalregister.gov/documents/2011/12/23/2011-33089/instituting-a-national-action-plan-on-women-peace-and-security,https://www.govinfo.gov/content/pkg/FR-2011-12-23/pdf/2011-33089.pdf,Presidential Document,Executive Order,12/23/11,80205,"Instituting a National Action Plan On Women, Peace, And Security",,13595
12/19/11,Obama,76 FR 80191,2011-33087,80203,https://www.federalregister.gov/documents/2011/12/23/2011-33087/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2011-12-23/pdf/2011-33087.pdf,Presidential Document,Executive Order,12/23/11,80191,Adjustments of Certain Rates of Pay,"Supersedes: EO 13561, December 22, 2010",13594
12/13/11,Obama,76 FR 78449,2011-32486,78463,https://www.federalregister.gov/documents/2011/12/16/2011-32486/2011-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2011-12-16/pdf/2011-32486.pdf,Presidential Document,Executive Order,12/16/11,78449,"2011 Amendments to the Manual for Courts-Martial, United States",,13593
12/2/11,Obama,76 FR 76603,2011-31624,76607,https://www.federalregister.gov/documents/2011/12/08/2011-31624/improving-american-indian-and-alaska-native-educational-opportunities-and-strengthening-tribal,https://www.govinfo.gov/content/pkg/FR-2011-12-08/pdf/2011-31624.pdf,Presidential Document,Executive Order,12/8/11,76603,Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011",13592
11/23/11,Obama,76 FR 74621,2011-30990,74624,https://www.federalregister.gov/documents/2011/11/30/2011-30990/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2011-11-30/pdf/2011-30990.pdf,Presidential Document,Executive Order,11/30/11,74621,Continuance of Certain Federal Advisory Committees,"See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010; EO 13631, December 7, 2012",13591
11/20/11,Obama,76 FR 72609,2011-30463,72612,https://www.federalregister.gov/documents/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services,https://www.govinfo.gov/content/pkg/FR-2011-11-23/pdf/2011-30463.pdf,Presidential Document,Executive Order,11/23/11,72609,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors","See: EO 12957, March 15, 1995
Revoked by: EO 13716, January 16, 2016",13590
11/9/11,Obama,76 FR 70861,2011-29683,70864,https://www.federalregister.gov/documents/2011/11/15/2011-29683/promoting-efficient-spending,https://www.govinfo.gov/content/pkg/FR-2011-11-15/pdf/2011-29683.pdf,Presidential Document,Executive Order,11/15/11,70861,Promoting Efficient Spending,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011",13589
10/31/11,Obama,76 FR 68295,2011-28728,68296,https://www.federalregister.gov/documents/2011/11/03/2011-28728/reducing-prescription-drug-shortages,https://www.govinfo.gov/content/pkg/FR-2011-11-03/pdf/2011-28728.pdf,Presidential Document,Executive Order,11/3/11,68295,Reducing Prescription Drug Shortages,,13588
